Video ID,Metrics Date,Views,Watch Time Minutes,Subscriber Net Change,Comments,Likes,Shares,Thumbnail Impressions,Video level thumbnail impressions CTR (percentage)
vid_0001,15/03/2026,299,2887.56,5,2,10,2,8813,0.023375
vid_0001,16/03/2026,"2,279",16883.71,9,3,15,0,21368,0.056533
vid_0001,17/03/2026,"3,608",24652.96,18,3,40,5,38229,0.050145
vid_0001,18/03/2026,"3,850",27493.28,19,2,36,8,38877,0.053965
vid_0001,19/03/2026,"3,063",24283.52,18,1,44,5,33220,0.057074
vid_0001,20/03/2026,"1,241",9816.65,6,1,15,4,15664,0.049796
vid_0001,21/03/2026,"1,090",7986.65,7,1,9,3,13071,0.04751
vid_0001,22/03/2026,"1,427",10822.5,9,0,9,1,15415,0.053
vid_0001,23/03/2026,"1,284",8761.67,4,0,14,4,14170,0.049682
vid_0001,24/03/2026,"2,108",15445.28,9,1,12,2,21731,0.054945
vid_0001,25/03/2026,"3,294",25945.51,21,1,23,5,30570,0.060942
vid_0001,26/03/2026,"5,106",38862.83,21,4,38,9,49086,0.060628
vid_0001,27/03/2026,"6,585",49823.96,28,1,56,12,69280,0.056524
vid_0001,28/03/2026,"6,586",49323,24,1,57,14,74472,0.051415
vid_0001,29/03/2026,"6,054",46961.23,30,3,49,25,67044,0.052562
vid_0001,30/03/2026,"5,823",47326.94,19,3,45,11,67047,0.054067
vid_0001,31/03/2026,"6,361",49077.62,29,2,50,16,72877,0.054571
vid_0002,12/03/2026,1,0.01,0,0,0,0,0,0
vid_0002,13/03/2026,"1,060",13893.78,0,0,34,4,23381,0.027073
vid_0002,14/03/2026,500,6833.28,0,0,8,0,13173,0.020648
vid_0002,15/03/2026,200,3209.88,0,0,2,1,4231,0.021035
vid_0002,16/03/2026,118,1575.67,1,0,2,1,3221,0.022664
vid_0002,17/03/2026,55,886.23,0,0,0,0,1753,0.017114
vid_0002,18/03/2026,73,1411.73,0,0,1,0,1228,0.028502
vid_0002,19/03/2026,69,1253.93,0,0,0,0,1507,0.019244
vid_0002,20/03/2026,40,565.96,0,0,-1,0,972,0.026749
vid_0002,21/03/2026,26,233.72,0,0,1,1,688,0.017442
vid_0002,22/03/2026,38,606.01,0,0,1,0,647,0.023184
vid_0002,23/03/2026,32,602.17,0,0,1,0,574,0.020906
vid_0002,24/03/2026,23,382.29,0,0,0,0,451,0.017738
vid_0002,25/03/2026,34,699.57,0,0,0,0,482,0.008299
vid_0002,26/03/2026,41,897.1,0,0,0,0,500,0.034
vid_0002,27/03/2026,53,1154.53,0,0,0,0,917,0.018539
vid_0002,28/03/2026,25,283.18,0,0,0,0,421,0.023753
vid_0002,29/03/2026,28,725.63,0,0,0,0,440,0.025
vid_0002,30/03/2026,28,650.81,0,0,0,0,385,0.018182
vid_0002,31/03/2026,25,355.35,0,0,0,0,384,0.018229
vid_0003,25/03/2026,336,1241.28,-3,0,16,0,8337,0.02351
vid_0003,26/03/2026,202,723.44,0,0,6,0,4840,0.027893
vid_0003,27/03/2026,121,445.69,0,0,2,0,2402,0.034138
vid_0003,28/03/2026,69,163.63,0,0,0,0,1717,0.029703
vid_0003,29/03/2026,49,61.15,0,0,1,0,1534,0.022164
vid_0003,30/03/2026,46,93.8,0,0,0,0,1397,0.027201
vid_0003,31/03/2026,68,122.84,0,0,1,0,1277,0.038371
vid_0004,01/01/2026,3,88.45,0,0,0,0,191,0.010471
vid_0004,02/01/2026,10,231.66,0,0,0,0,215,0.04186
vid_0004,03/01/2026,9,151.54,0,0,0,0,192,0.036458
vid_0004,04/01/2026,5,138.79,0,0,0,0,196,0.015306
vid_0004,05/01/2026,8,17.51,0,0,0,0,145,0.02069
vid_0004,06/01/2026,3,45.11,0,0,0,0,130,0.015385
vid_0004,07/01/2026,1,5.84,0,0,0,0,121,0.008264
vid_0004,08/01/2026,2,27.42,0,0,0,0,94,0.010638
vid_0004,09/01/2026,4,89.91,0,0,0,0,131,0.022901
vid_0004,10/01/2026,5,39.99,0,0,0,0,128,0.03125
vid_0004,11/01/2026,7,65.71,0,0,0,0,156,0.032051
vid_0004,12/01/2026,3,65.4,0,0,0,0,124,0.024194
vid_0004,13/01/2026,5,122.02,0,0,0,0,105,0.009524
vid_0004,14/01/2026,2,13.54,0,0,0,0,91,0.021978
vid_0004,15/01/2026,2,22.93,0,0,0,0,96,0.010417
vid_0004,16/01/2026,2,61.1,0,0,0,0,104,0.009615
vid_0004,17/01/2026,8,190.65,0,0,0,0,124,0.040323
vid_0004,18/01/2026,4,28.98,0,0,0,0,119,0.008403
vid_0004,19/01/2026,1,0.15,0,0,0,0,96,0.010417
vid_0004,20/01/2026,1,0.03,0,0,0,0,86,0.011628
vid_0004,21/01/2026,3,1.2,0,0,0,0,79,0.012658
vid_0004,22/01/2026,1,0.23,0,0,0,0,79,0.012658
vid_0004,24/01/2026,7,69.65,0,0,0,0,119,0.016807
vid_0004,25/01/2026,5,103.38,0,0,0,0,122,0.008197
vid_0004,26/01/2026,1,8.21,0,0,0,0,75,0
vid_0004,27/01/2026,6,85.63,0,0,0,0,93,0.021505
vid_0004,28/01/2026,5,70.03,0,0,0,0,87,0.022989
vid_0004,29/01/2026,2,0.58,0,0,0,0,63,0.015873
vid_0004,30/01/2026,2,1.25,0,0,0,0,88,0.022727
vid_0004,31/01/2026,1,0.12,0,0,0,0,71,0.014085
vid_0004,01/02/2026,2,2.56,0,0,0,0,87,0
vid_0004,02/02/2026,2,24.51,0,0,0,0,82,0.012195
